0 -4.4617e-07 -0.0262353     -0.0527746 -0.000952243      -0.053995 -0.0338225
340 0.0638187 0.0647075     -20.0147 -27.3988      -20.0175 -27.4012
341 0.0593656 0.0612964     -15.0732 -19.9081      -15.0641 -19.9064
342 0.055868 0.0590244     -8.57596 -17.5289      -8.55415 -17.5267
343 0.0523258 0.0579466     -3.06259 -20.2883      -3.02786 -20.2895
344 0.0478332 0.0576422     -0.891749 -27.1783      -0.844997 -27.1878
345 0.0417697 0.057286     -3.85648 -36.2631      -3.80074 -36.286
346 0.033956 0.0557916     -12.829 -44.9285      -12.77 -44.9689
347 0.0247488 0.0520152     -27.4975 -50.2829      -27.4434 -50.3423
348 0.0150452 0.0449953     -46.2756 -49.6789      -46.2352 -49.7543
349 0.00618247 0.0341867     -66.451 -41.2741      -66.4315 -41.3585
350 -0.000264854 0.0196422     -84.5968 -24.5099      -84.6013 -24.5926
351 -0.00276106 0.00209235     -97.1946 -0.373217      -97.2206 -0.442669
352 -0.000106445 -0.0171048     -101.348 28.6572      -101.388 28.6102
353 0.00830851 -0.0361469     -95.4212 59.0034      -95.4616 58.983
354 0.0223524 -0.0530723     -79.4281 86.6539      -79.4569 86.6576
355 0.0411446 -0.0660866     -55.0725 107.949      -55.0799 107.968
356 0.0631941 -0.0738603     -25.4069 120.296      -25.3883 120.319
357 0.0866549 -0.075731     5.80085 122.638      5.84321 122.652
358 0.109637 -0.0717673     34.8315 115.56      34.8897 115.556
359 0.130504 -0.0626898     58.7161 101.032      58.7793 101.005
360 0.148088 -0.0496765     75.7074 81.8679      75.7646 81.8211
361 0.161791 -0.0341089     85.4261 61.0688      85.4692 61.0083
362 0.17156 -0.0173208     88.6838 41.2162      88.7099 41.1511
363 0.177761 -0.000407281     87.0723 24.0661      87.0831 24.005
364 0.181004 0.0158774     82.4577 10.4096      82.4585 10.3584
365 0.181966 0.0311259     76.5256 0.187077      76.5234 0.14755
366 0.181253 0.0452119     70.4855 -7.2248      70.4863 -7.2544
367 0.179322 0.0581857     64.976 -12.6684      64.9832 -12.6923
368 0.176473 0.0701702     60.1464 -16.9125      60.1608 -16.9353
369 0.172882 0.0812843     55.8464 -20.4802      55.866 -20.5055
370 0.168649 0.0916057     51.8322 -23.6154      51.854 -23.6448
371 0.163852 0.101169     47.9209 -26.3557      47.942 -26.3886
372 0.15857 0.109987     44.0541 -28.6511      44.0729 -28.6857
373 0.152894 0.11807     40.2784 -30.4697      40.295 -30.504
374 0.146913 0.125445     36.6779 -31.8491      36.6934 -31.8816
375 0.140702 0.13215     33.3057 -32.8868      33.3217 -32.9175
376 0.134316 0.138231     30.151 -33.6918      30.1687 -33.7217
377 0.127792 0.143723     27.1529 -34.3336      27.1723 -34.3642
378 0.12116 0.14865     24.2459 -34.8201      24.2659 -34.8524
379 0.114451 0.153026     21.4058 -35.1173      21.425 -35.1512
380 0.107706 0.156865     18.6661 -35.1978      18.6834 -35.2322
381 0.100964 0.160194     16.092 -35.088      16.1074 -35.1212
